Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
XInput device detection failed. XInput won't be used. Error: 0x80041003
S24MAME crkdown-io-write cpu=:maincpu time=0.000007000 pc=000410 addr=80001c canonical=1c data=0404 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=0.000009000 pc=000418 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=0.000011000 pc=000420 addr=80001e canonical=1e data=8888 mask=00ff
S24MAME crkdown-check frame=1 time=0.019024 mainpc=000490 subpc=000000
S24MAME crkdown-check frame=121 time=2.105104 mainpc=0004ac subpc=000000
S24MAME crkdown-io-write cpu=:maincpu time=3.407566800 pc=003464 addr=80000e canonical=0e data=8080 mask=00ff
S24MAME crkdown-check frame=241 time=4.191184 mainpc=0017de subpc=000000
S24MAME crkdown-check frame=361 time=6.277264 mainpc=00166c subpc=000000
S24MAME crkdown-check frame=481 time=8.363344 mainpc=000ea4 subpc=000000
S24MAME crkdown-io-write cpu=:maincpu time=8.977053900 pc=0800c0 addr=80001e canonical=1e data=8888 mask=00ff
S24MAME crkdown-check frame=601 time=10.449424 mainpc=001936 subpc=000000
S24MAME crkdown-check frame=721 time=12.535504 mainpc=001924 subpc=000000
S24MAME crkdown-io-write cpu=:maincpu time=13.743866100 pc=0808cc addr=80001c canonical=1c data=0202 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=13.746124700 pc=0808e8 addr=80001c canonical=1c data=0606 mask=00ff
S24MAME crkdown-check frame=841 time=14.621584 mainpc=08041a subpc=00912a
S24MAME crkdown-io-write cpu=:maincpu time=14.969288100 pc=080818 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=14.986731800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.004115800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.021498800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.038882800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.056266800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:subcpu time=15.073650800 pc=009500 addr=800006 canonical=06 data=0000 mask=00ff
