Getting list of Win32_PNPEntity devices failed. Error: 0x80041003
XInput device detection failed. XInput won't be used. Error: 0x80041003
S24MAME crkdown-io-write cpu=:maincpu time=0.000007000 pc=000410 addr=80001c canonical=1c data=0404 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=0.000009000 pc=000418 addr=800006 canonical=06 data=0000 mask=00ff
S24MAME crkdown-io-write cpu=:maincpu time=0.000011000 pc=000420 addr=80001e canonical=1e data=8888 mask=00ff
S24MAME crkdown-check frame=1 time=0.019024 mainpc=000490 subpc=000000
S24MAME crkdown-check frame=121 time=2.105104 mainpc=0004ac subpc=000000
S24MAME crkdown-io-write cpu=:maincpu time=3.407566800 pc=003464 addr=80000e canonical=0e data=8080 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=3.407956600 pc=000512 addr=b00004 data=ffff mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=3.407965400 pc=0005a8 addr=b00004 data=0000 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=3.723296500 pc=0021d4 addr=b00004 data=ffff mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=3.723306700 pc=0018b2 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-check frame=241 time=4.191184 mainpc=0017de subpc=000000
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333736500 pc=000e26 addr=b00004 data=0000 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333747900 pc=000e4c addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333751900 pc=000e5a addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333753500 pc=000e60 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333757500 pc=000e6e addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333759100 pc=000e74 addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333795900 pc=001822 addr=b00006 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333800100 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333804100 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333815100 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333819100 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.333825500 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867551100 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867562500 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867566500 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867568100 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867572100 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867573700 pc=000f3a addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867613500 pc=001822 addr=b00006 data=4242 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867617700 pc=001832 addr=b0000a data=0a0a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867621700 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867632700 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867636700 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.867643100 pc=001664 addr=b00000 data=9696 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992061700 pc=000eec addr=b00004 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992073100 pc=000f12 addr=b00000 data=d0d0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992077100 pc=000f20 addr=b00006 data=c0c0 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992078700 pc=000f26 addr=b00000 data=fefe mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992082700 pc=000f34 addr=b00006 data=8a8a mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.992084300 pc=000f3a addr=b00000 data=fdfd mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993815700 pc=001822 addr=b00006 data=4242 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993819900 pc=001832 addr=b0000a data=0e0e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993823900 pc=00183e addr=b00000 data=1414 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993834900 pc=00163a addr=b00004 data=0101 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993838900 pc=001648 addr=b00006 data=0707 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=4.993846100 pc=001664 addr=b00000 data=9e9e mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.141336300 pc=001822 addr=b00006 data=4343 mask=00ff
S24MAME crkdown-fdc-write cpu=:maincpu time=5.141340500 pc=001832 addr=b0000a data=0a0a mask=00ff
